Status,Resolved,Created,Issue Type
In Progress,,2025-01-15T09:23:45,Bug
Closed,2025-02-28T16:42:18,2025-02-10T11:15:32,Story
Done,2025-03-01T14:57:03,2025-02-14T08:30:21,Task
Open,,2025-03-05T10:42:36,Bug
In Progress,,2025-02-20T13:27:54,Epic
Resolved,2025-03-04T15:39:22,2025-02-25T09:18:47,Bug
To Do,,2025-03-01T16:05:11,Story
Closed,2025-02-17T11:23:45,2025-01-30T14:27:18,Task
In Progress,,2025-02-28T08:46:23,Bug
Done,2025-03-03T17:12:09,2025-02-15T11:54:32,Story
Closed,2025-02-10T14:39:27,2025-01-20T09:16:48,Bug
To Do,,2025-03-02T13:08:56,Task
In Progress,,2025-02-18T15:43:21,Story
Resolved,2025-03-06T09:27:14,2025-02-20T10:35:47,Bug
Closed,2025-02-25T16:18:39,2025-01-25T13:42:05,Epic
Done,2025-02-27T14:53:27,2025-02-10T08:19:33,Bug
In Progress,,2025-03-01T11:07:42,Task
To Do,,2025-03-04T15:23:58,Story
Closed,2025-03-02T10:34:16,2025-02-15T14:46:27,Bug
Resolved,2025-03-05T13:27:49,2025-02-25T09:58:34,Task
In Progress,,2025-02-20T16:14:28,Story
Done,2025-02-28T15:42:37,2025-02-10T11:29:43,Bug
To Do,,2025-03-03T09:36:15,Epic
Closed,2025-02-15T14:23:47,2025-01-15T10:18:22,Bug
In Progress,,2025-02-25T17:05:13,Story
Resolved,2025-03-01T11:46:29,2025-02-15T13:28:54,Task
Done,2025-03-04T16:19:45,2025-02-20T09:37:11,Bug
To Do,,2025-03-02T14:53:27,Story
In Progress,,2025-02-28T10:12:38,Bug
Closed,2025-02-20T13:47:15,2025-01-30T16:25:41,Task
Resolved,2025-03-05T09:28:43,2025-02-25T14:36:19,Epic
In Progress,,2025-03-01T17:14:25,Bug
Done,2025-03-02T11:35:47,2025-02-15T08:42:18,Story
To Do,,2025-03-04T16:29:53,Task
Closed,2025-02-15T14:17:32,2025-01-20T13:54:26,Bug
In Progress,,2025-02-20T09:46:15,Story
Resolved,2025-03-03T15:28:47,2025-02-10T16:37:22,Bug
Done,2025-02-28T10:43:19,2025-02-05T11:08:36,Task
To Do,,2025-03-01T13:54:27,Epic
In Progress,,2025-02-25T16:38:42,Bug
Closed,2025-02-18T09:15:36,2025-01-25T14:27:53,Story
Resolved,2025-03-06T14:29:18,2025-02-20T10:43:15,Bug
Done,2025-03-04T17:23:42,2025-02-15T13:18:29,Task
To Do,,2025-03-02T11:45:37,Story
In Progress,,2025-02-28T15:26:49,Bug
Closed,2025-02-10T10:38:14,2025-01-15T16:47:23,Task
Resolved,2025-03-01T13:54:27,2025-02-10T09:25:18,Epic
Done,2025-02-25T16:12:38,2025-02-01T14:39:27,Bug
To Do,,2025-03-03T10:45:19,Story
In Progress,,2025-02-20T17:32:48,Task
Closed,2025-02-27T14:18:36,2025-02-05T11:26:45,Bug
Resolved,2025-03-05T09:47:23,2025-02-25T15:34:18,Story
Done,2025-03-02T16:23:45,2025-02-15T10:48:32,Bug
To Do,,2025-03-01T13:15:29,Task
In Progress,,2025-02-28T09:36:47,Epic
Closed,2025-02-18T14:25:38,2025-01-30T16:54:19,Bug
Resolved,2025-03-04T10:48:23,2025-02-20T13:27:46,Story
Done,2025-02-28T15:36:49,2025-02-10T09:42:15,Task
To Do,,2025-03-03T17:28:34,Bug
In Progress,,2025-02-25T11:43:19,Story
Closed,2025-02-15T14:36:27,2025-01-20T10:19:38,Bug
Resolved,2025-03-01T16:29:43,2025-02-10T13:45:22,Task
Done,2025-02-25T09:17:34,2025-02-05T15:26:48,Epic
To Do,,2025-03-02T14:38:15,Bug
In Progress,,2025-02-20T10:56:29,Story
Closed,2025-02-27T16:24:37,2025-02-01T13:14:25,Bug
Resolved,2025-03-05T11:48:19,2025-02-25T09:36:42,Task
Done,2025-03-03T14:27:36,2025-02-15T16:45:23,Story
To Do,,2025-03-01T10:39:18,Bug
In Progress,,2025-02-28T17:15:43,Task
Closed,2025-02-18T13:48:26,2025-01-25T09:27:35,Epic
Resolved,2025-03-04T09:36:14,2025-02-20T15:42:28,Bug
Done,2025-02-28T14:57:32,2025-02-10T10:23:46,Story
To Do,,2025-03-03T16:34:19,Task
In Progress,,2025-02-25T13:25:47,Bug
Closed,2025-02-15T10:48:32,2025-01-15T16:39:24,Story
Resolved,2025-03-01T15:23:41,2025-02-10T11:47:18,Bug
Done,2025-02-25T09:36:15,2025-02-05T14:28:37,Task
To Do,,2025-03-02T16:54:29,Epic
In Progress,,2025-02-20T13:18:45,Bug
Closed,2025-02-27T10:37:19,2025-02-01T15:46:28,Story
Resolved,2025-03-05T14:26:38,2025-02-25T11:38:17,Bug
Done,2025-03-03T16:48:24,2025-02-15T09:27:35,Task
To Do,,2025-03-01T15:37:42,Story
In Progress,,2025-02-28T11:19:36,Bug
Closed,2025-02-18T16:47:25,2025-01-25T10:35:18,Task
Resolved,2025-03-04T13:28:47,2025-02-20T16:39:24,Epic
Done,2025-02-28T09:47:15,2025-02-10T14:26:38,Bug
To Do,,2025-03-03T15:19:43,Story
In Progress,,2025-02-25T10:38:26,Task
Closed,2025-02-15T16:47:35,2025-01-15T13:25:49,Bug
Resolved,2025-03-01T14:19:36,2025-02-10T09:48:17,Story
Done,2025-02-25T11:36:28,2025-02-01T16:27:34,Bug
